Contrato;Data de publicação;Data de celebração;Data de fecho;Prazo de execução;Preço contratual;Preço total efetivo;Entidade adjudicante (NIF);Entidade adjudicatária (NIF);Entidade adjudicatária (ID);Incrementos superiores a 15%
406;09/09/2008;0;29/08/2008 00:00;4;1.16;1.16;500832935;503721514;494;0
407;09/09/2008;09/09/2008 00:00;23/09/2008 00:00;10;8.92586;8.92586;501205551;504080369;496;0
409;09/09/2008;0;0;5;67.15;0.0;506772446;502126256;471;0
410;09/09/2008;0;0;30;8.93172;0.0;501294104;500244502;333;0
411;09/09/2008;0;0;8;8.04319;0.0;501294104;502475668;499;0
412;09/09/2008;0;0;30;6.01354;0.0;501294104;500244502;333;0
413;09/09/2008;0;0;1;45148.0;0.0;503539473;500886113;121;0
414;09/09/2008;0;0;1;90000.0;0.0;503539473;507780850;501;0
415;09/09/2008;0;0;1;2.8125;0.0;503539473;135623901;502;0
416;09/09/2008;0;0;2;34480.0;0.0;503539473;500257841;389;0
417;09/09/2008;0;0;1;25374.0;0.0;503539473;500886113;121;0
418;09/09/2008;08/09/2008 00:00;02/11/2008 00:00;30;33.0;33.0;506963837;503857416;504;0
420;04/09/2008;12/08/2008 00:00;15/10/2008 00:00;2;44964.0;37470.0;501138960;501988785;506;0
422;09/09/2008;0;0;8;16.5;0.0;506346773;507529170;509;0
423;09/09/2008;0;0;365;2.3112;0.0;600026531;500044210;511;0
424;09/09/2008;0;0;365;48.0;0.0;505676770;505523060;512;0
425;08/09/2008;0;0;30;34.83;34.83;506722422;507265858;513;0
426;08/09/2008;08/09/2008 00:00;10/07/2009 00:00;267;40.5;40.5;506963837;500272328;514;0
428;09/09/2008;0;0;60;44.48386;0.0;506735524;501921672;516;0
429;09/09/2008;0;0;122;7.32;0.0;502017368;506247058;518;0
430;09/09/2008;0;0;1;5.12698;0.0;507718666;503049441;519;0
431;09/09/2008;0;0;15;7.78;0.0;506806898;502101555;521;0
432;09/09/2008;0;0;120;17.4;0.0;502264047;506380009;523;0
433;09/09/2008;0;0;15;42.75;0.0;672002728;512040907;525;0
434;09/09/2008;0;0;365;33.25;0.0;672002728;503373672;526;0
435;09/09/2008;0;0;35;6.171;0.0;500051054;170693660;528;0
437;09/09/2008;0;0;35;6.56996;0.0;500051054;170693660;528;0
436;09/09/2008;0;0;92;23.35405;0.0;501536272;505121247;529;0
438;05/09/2008;05/09/2008 00:00;31/12/2008 00:00;105;32.797;32.797;505410850;505760215;531;0
440;10/09/2008;0;0;5;6.03232;0.0;506735524;502962500;532;0
441;10/09/2008;0;0;50;22.8;0.0;506735524;508147379;533;0
442;10/09/2008;0;0;30;7.6884;0.0;506735524;502310600;534;0
443;10/09/2008;0;0;45;15.0;0.0;506735524;503157163;535;0
444;10/09/2008;0;0;1;13665.0;0.0;600000125;500198187;536;0
445;10/09/2008;0;0;7;6.088;0.0;600026531;500646791;338;0
446;10/09/2008;0;0;297;24.795;0.0;506792404;500347506;538;0
447;10/09/2008;08/09/2008 00:00;13/09/2008 00:00;5;6.71834;6.71834;501305734;180695878;540;0
